Objects
200
,,Global Angle bj_c1_bh:bj_c1_bh,,,,,,Global Angle bj_c1_cwm:bj_c1_cwm,,,,,,Global Angle bj_c1_h:bj_c1_h,,,,,,Global Angle bj_c1_p:bj_c1_p,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
100,0,-0.015912,-0.780262,-0.004620,-429.581360,103.446152,1799.156860,0.006709,-0.007483,-0.014595,-367.516663,91.653458,900.252808,-0.017989,0.045656,-0.034573,-413.741486,180.308304,1146.654785,,,,,,
101,0,-0.015577,-0.780370,-0.004813,-429.578033,103.442673,1799.161011,0.007031,-0.007997,-0.015028,-367.521118,91.650383,900.243896,-0.018255,0.045673,-0.034492,-413.753052,180.314545,1146.649902,,,,,,
102,0,-0.016196,-0.780755,-0.003486,-429.541351,103.218864,1799.160278,0.006676,-0.007510,-0.014606,-367.506714,91.649460,900.265259,-0.018028,0.045717,-0.034398,-413.747009,180.307907,1146.660156,,,,,,
103,0,-0.015676,-0.780488,-0.004695,-429.581207,103.435432,1799.160400,0.005470,-0.010574,-0.011499,-367.211182,91.534050,900.318848,-0.018049,0.045655,-0.034451,-413.750031,180.312195,1146.647827,,,,,,
104,0,-0.015810,-0.780305,-0.004455,-429.580536,103.447708,1799.168213,0.005483,-0.010602,-0.011463,-367.197510,91.545677,900.320312,-0.018073,0.045493,-0.034549,-413.758789,180.313080,1146.642090,,,,,,
105,0,-0.015634,-0.780170,-0.004540,-429.580627,103.448387,1799.169800,0.006803,-0.007960,-0.014666,-367.517273,91.651756,900.247009,-0.017883,0.045578,-0.034544,-413.757538,180.311569,1146.656982,,,,,,
106,0,-0.015974,-0.780743,-0.003788,-429.519501,103.216103,1799.168701,0.006615,-0.007709,-0.014402,-367.507111,91.644173,900.259521,-0.018179,0.045608,-0.034471,-413.757385,180.302811,1146.647095,,,,,,
107,0,-0.015650,-0.780241,-0.004527,-429.578247,103.441742,1799.169067,0.006969,-0.007625,-0.014371,-367.507111,91.659760,900.269836,-0.017930,0.045652,-0.034305,-413.743958,180.290100,1146.648926,,,,,,
108,0,-0.015662,-0.780396,-0.004762,-429.582550,103.445755,1799.169067,0.006834,-0.007436,-0.014660,-367.534607,91.661957,900.253906,-0.018115,0.045693,-0.034521,-413.753387,180.311523,1146.650879,,,,,,
109,0,-0.015697,-0.780260,-0.004862,-429.558472,103.442413,1799.168579,0.005710,-0.010966,-0.011558,-367.197296,91.548241,900.322754,-0.017961,0.045751,-0.034451,-413.761353,180.319763,1146.660522,,,,,,
110,0,-0.015689,-0.780507,-0.004675,-429.579834,103.448769,1799.161133,0.006950,-0.007395,-0.014855,-367.549072,91.652641,900.246460,-0.018090,0.045748,-0.034612,-413.762878,180.320343,1146.652100,,,,,,
111,0,-0.015795,-0.780524,-0.004450,-429.574402,103.447632,1799.164673,0.006766,-0.007808,-0.014723,-367.521210,91.650459,900.264038,-0.018029,0.045623,-0.034381,-413.765167,180.310684,1146.652100,,,,,,
112,0,-0.015730,-0.780398,-0.004545,-429.578094,103.446266,1799.157104,0.006845,-0.007854,-0.014627,-367.521973,91.659706,900.261292,-0.018211,0.045585,-0.034618,-413.760620,180.328552,1146.640991,,,,,,
